CEP,lat,lon,Bairro
08032000,-23.0808999471,-47.1455308818,Vila Nova Curuçá
02269090,-23.4956199918,-46.6931381476,Parque Vitória
03401001,-23.3862699758,-46.636,Vila Carrão
02938000,-23.435049988,-46.636,Pirituba
05535000,-23.1344499556,-46.1848835476,Jardim Peri Peri
04010903,-23.5006599952,-46.5843596839,Vila Mariana
03405050,-23.3857299801,-46.636,Chácara Califórnia
04412120,-23.8237600318,-46.9368097543,Americanópolis
03107900,-23.5858000074,-46.6772337164,Mooca
05615040,-23.9720800435,-46.636,Vila Progredior
05049901,-23.1814299568,-46.636,Vila Romana
03431020,-23.3832099821,-46.8157593527,Vila Carrão
03077000,-23.4209199832,-46.636,Tatuapé
03669000,-23.5330792,-46.4902861,Vila Ré
02126030,-23.5810300071,-46.636,Vila Maria Alta
05724904,-23.6657200146,-46.636,Vila Andrade
04655900,-23.548,-46.7221980948,Jardim Alzira
04764080,-23.548,-46.9819704871,Socorro
02065000,-23.548,-46.6672198176,Vila Guilherme
05734150,-23.98216005,-46.1624013529,Vila Andrade
01224001,-23.548,-46.6279496067,Vila Buarque
02055050,-23.5761700066,-46.636,Vila Guilherme
04364030,-23.2779099642,-46.9306247025,Vila Santa Catarina
05029000,-23.548,-47.033807155,Vila Anglo Brasileira
01209010,-23.5412499981,-46.636,Santa Efigênia
02715000,-23.6407000154,-46.5348792223,Limão
03275060,-23.548,-46.7965169541,Vila Ivone
02998060,-23.6691400197,-46.636,Jaraguá
05038130,-23.1823299552,-46.2371129111,Parque Residencial da Lapa
05171560,-23.548,-47.0499079401,Conjunto Residencial Vista Verde
05427000,-23.1433599547,-46.636,Pinheiros
03175010,-23.4122799852,-46.7840486641,Quarta Parada
04734003,-23.548,-46.2937601779,Santo Amaro
04657005,-23.2429899626,-46.9687167967,Vila Constança
04346090,-23.8159300271,-46.9282684811,Vila Parque Jabaquara
04088006,-23.548,-46.8921399005,Indianópolis
03134002,-23.4166899862,-46.7792380636,Vila Prudente
02274000,-23.548,-46.6940217293,Jaçanã
03346010,-23.559485,-46.5708506,Vila Regente Feijó
04515011,-23.548,-46.951732435,Indianópolis
05311000,-23.1567699583,-46.636,Vila Leopoldina
05410000,-23.145609951,-46.1970573042,Pinheiros
04272300,-23.6150736652,-46.6050791943,Vila Firmiano Pinto
02120001,-23.5802200103,-46.636,Vila Maria
05638110,-23.1213099533,-47.1014500773,Jardim Londrina
08246063,-23.4173199869,-46.7785508344,Parada XV de Novembro
05724030,-23.548,-47.1085187191,Vila Andrade
05503010,-23.548,-47.0829930852,Butantã
03323040,-23.7005500161,-46.8024074832,Cidade Mãe do Céu
05782360,-23.9886400442,-46.1553327236,Parque Munhoz
05122010,-23.9215900394,-46.636,Parque São Domingos
04166003,-23.793250028,-46.9035282571,Jardim Vergueiro (Sacomã)
03891050,-23.548,-46.8634726534,Vila Santa Lúcia
04763001,-23.6694364,-46.718718,Socorro
05641030,-23.9751400489,-46.636,Vila Suzana
04074000,-23.3146299757,-46.636,Indianópolis
03211190,-23.4082299854,-46.4835334389,Sítio da Figueira
04169000,-23.3024799668,-46.9038227892,Vila Moraes
05782370,-23.9886400442,-46.636,Parque Munhoz
02242040,-23.5957000081,-46.636,Parada Inglesa
05713430,-23.9804500441,-46.1642666938,Jardim Ampliação
02433090,-23.6233300111,-46.636,Vila Guaca
04619010,-23.8481500354,-46.9634153177,Campo Belo
04194260,-23.6552104,-46.6086166,Jardim São Savério
03069000,-23.4215499846,-46.7739365886,Vila Zilda (Tatuapé)
04661200,-23.2422699631,-46.3024978,Jardim Umuarama
03002000,-23.6694100133,-46.636,Brás
03257180,-23.4036399805,-46.636,Vila Mendes
03918000,-23.7590500287,-46.8662215694,Vila Bancária
05805040,-23.9926000526,-47.1209870074,Jardim São Luís
03968005,-23.5959659701,-46.47250991,Cidade São Mateus
05468020,-23.9571400482,-46.636,Alto da Lapa
05518110,-23.9594800496,-46.636,Jardim Trussardi
05734040,-23.1140199517,-47.1094022942,Vila Andrade
04148000,-23.7900100299,-46.3720060587,Bosque da Saúde
05541000,-23.9621800418,-46.184196322,Jardim das Vertentes
04038040,-23.5984894,-46.6376376,Vila Clementino
05805000,-23.548,-46.151013001,Jardim São Luís
02051001,-23.5757200101,-46.6057619363,Vila Guilherme
05632090,-23.5960605,-46.7307289,Vila Sônia
01201001,-23.548,-46.6291277081,Campos Elíseos
05024030,-23.1837699591,-46.636,Vila Pompéia
02631000,-23.4584499839,-46.636,Jardim Peri
08340470,-24.0614500565,-47.196091266,Jardim Vila Carrão
02342190,-23.6121700138,-46.636,Tucuruvi
05015001,-23.548,-46.2394691249,Perdizes
02460050,-23.6253100154,-46.636,Santa Teresinha
05115050,-23.9206000381,-46.2295534051,Vila Jaguara
01515000,-23.548,-46.6139105059,Cambuci
01332000,-23.5342299922,-46.6209791406,Bela Vista
08490800,-23.6974000154,-46.7989713401,Jardim Pedra Branca
03054000,-23.548,-46.7726603044,Belenzinho
02730060,-23.6421400157,-46.7386915859,Vila Albertina
04517000,-23.6072812516,-46.6707887482,Indianópolis
01516000,-23.5682500088,-46.6139105038,Cambuci
03115001,-23.548,-46.7771763855,Mooca
01050070,-23.5451199996,-46.636,Centro
03294100,-23.3978799791,-46.47224325,Jardim Independência
03089000,-23.4200199853,-46.4963944287,Tatuapé
04015000,-23.3210199772,-46.8835986257,Vila Mariana
05040000,-23.1823299612,-47.0348870824,Lapa
08215657,-23.4187599838,-46.636,Itaquera
08042117,-23.548,-46.5018922575,Cidade Nova São Miguel
01433020,-23.5314399913,-46.636,Jardim Paulista
05757110,-23.1114099537,-46.636,Pirajussara
03063000,-23.6740000139,-46.4985542905,Tatuapé
04177050,-23.7946000301,-46.9050008917,Jardim Imperador (Zona Sul)
04305000,-23.8094500301,-46.9211998486,Vila Monte Alegre
05376140,-23.1491199577,-46.636,Vila Antônio
02417190,-23.6214400136,-46.5558887804,Jardim Paraíso
04625001,-23.548,-46.3076029295,Nova Piraju
03572020,-23.3697999742,-46.8303875101,Jardim Santa Terezinha (Zona Leste)
05754040,-23.1119499533,-46.636,Umarizal
01127000,-23.548,-46.6314839221,Bom Retiro
04729080,-23.2345299605,-46.9779452956,Jardim Caravelas
05661020,-23.1194199486,-47.1035117679,Fazenda Morumbi
01258020,-23.548,-46.6243171099,Sumaré
04582000,-23.548,-46.9603718772,Vila Cordeiro
01442002,-23.548,-46.6170521222,Jardim América
04190050,-23.797030027,-46.3643483732,Vila Santa Teresa (Zona Sul)
05181280,-23.9289700421,-47.0515769204,Jaraguá
04368130,-23.8184500287,-46.636,Jardim Santo Antoninho
02912080,-23.6578900145,-46.5161277036,Piqueri
05038150,-23.9136700368,-46.2371129198,Água Branca
03059001,-23.5849000058,-46.6762519597,Belenzinho
04766000,-23.2307499642,-46.2899313377,Socorro
03508010,-23.7188200182,-46.4496628888,Chácara Seis de Outubro
03361010,-23.3914899791,-46.8067272103,Vila Formosa
05617140,-23.5917319,-46.7181648,Vila Progredior
05520900,-23.4333399843,-46.7610755989,Vila Sônia
01315000,-23.548,-46.6225499517,Bela Vista
03139010,-23.4160599862,-46.4920747079,Parque da Vila Prudente
04530090,-23.548,-46.3190894646,Itaim Bibi
03275900,-23.5083999922,-46.6791972267,Chácara Belenzinho
04257100,-23.8045900316,-46.636,Parque Fongaro
04761010,-23.231379966,-46.636,Vila Socorro
03126007,-23.548,-46.7780599579,Parque da Mooca
