Cartório de Registro;rua;número_rua;complemento;abrangência
1;Rua Tabatinguera;140;lj 1;[Liberdade,Vila Mariana]
2;Rua Vitorino Carmilo; 576;;[Perdizes,Santa Cecília]
3;Rua Jacarei;23;;[Bela Vista,Santana,Vila Nova Cachoeirinha]
4;Al Vicente Pinzon;173;11° and;[Bela Vista,Jardim Paulista, Sé]
5;Rua Marquês de Paranaguá;359;;[Consolação,Pari,Santa Efigênia]
6;Av. Lins de Vasconcelos;2376;;[Cambuci, Ipiranga,Vila Mariana,Vila Prudente]
7;Rua Augusta;356;;[Alto da Moóca,Belenzinho,Moóca,Guaianazes]
8;Rua Bento Freitas;256;;[Cangaíba,Jabaquara,Vila Guilherme,Vila Maria]
9;Rua Augusta;1058;;[Itaquera,Tatuapé,Vila Formosa]
10;Rua Inácio Pereira da Rocha;142;1º and;[Pinheiros]
11;Rua Nelson Gama de Oliveira;235;;[Toda a cidade]
12;Rua Major Ângelo Zanchi;623;;[Ermelino Matarazzo,Itaim Paulista,Penha,São Miguel Paulista]
13;Av. São Gabriel;201;1º and;[Cerqueira César,Itaim Bibi,Jardim América]
14;Rua Jundiaí;50;7º and;[Indianópolis,Saúde]
15;Rua Cons. Crispiniano;29;4º and;[Barra Funda,Ibirapuera,Tucuruvi]
16;Rua Pamplona;1593;;[Aclimação,Jaguara,Pirituba,Vila Matilde]
17;Rua Japurá;43;1º subsolo;[Cangaíba,Vila Guilherme,Vila Maria]
18;Av. Liberdade;701;;[Brasilândia,Butantã,Jaraguá e Perus]
